Label,pattern_size,pattern_energy
DSC_1024_RAB663v,6,982.618377389
DSC_1024_RAB663v,11,1148.357088619
DSC_1024_RAB663v,16,1300.662971604
DSC_1024_RAB663v,21,1471.319257323
DSC_1024_RAB663v,26,1598.789777713
DSC_1024_RAB663v,31,1649.705250399
DSC_1024_RAB663v,36,1621.824318122
DSC_1024_RAB663v,41,1532.704230251
DSC_1024_RAB663v,46,1406.621561540
DSC_1024_RAB663v,51,1265.724188389
DSC_1024_RAB663v,56,1126.471503239
DSC_1024_RAB663v,61,999.307738800
DSC_1024_RAB663v,66,889.688882864
DSC_1024_RAB663v,71,799.409340945
DSC_1024_RAB663v,76,727.793119145
DSC_1024_RAB663v,81,672.656357923
DSC_1024_RAB663v,86,631.071787785
DSC_1024_RAB663v,91,599.957016973
DSC_1024_RAB663v,96,576.480124321
DSC_1024_RAB663v,101,558.278645144
DSC_1024_RAB663v,106,543.523129283
DSC_1024_RAB663v,111,530.879651484
DSC_1024_RAB663v,116,519.424687486
DSC_1029_RAB664d,1,88.589473397
DSC_1029_RAB664d,6,385.574744917
DSC_1029_RAB664d,11,601.313648886
DSC_1029_RAB664d,16,781.299068514
DSC_1029_RAB664d,21,895.691243249
DSC_1029_RAB664d,26,944.831106239
DSC_1029_RAB664d,31,950.245882356
DSC_1029_RAB664d,36,931.554114356
DSC_1029_RAB664d,41,900.666604909
DSC_1029_RAB664d,46,863.023885099
DSC_1029_RAB664d,51,820.214994442
DSC_1029_RAB664d,56,772.553080333
DSC_1029_RAB664d,61,720.618232401
DSC_1029_RAB664d,66,665.646819633
DSC_1029_RAB664d,71,609.297252593
DSC_1029_RAB664d,76,553.288337664
DSC_1029_RAB664d,81,499.133040767
DSC_1029_RAB664d,86,448.005068420
DSC_1029_RAB664d,91,400.707026293
DSC_1029_RAB664d,96,357.700684281
DSC_1029_RAB664d,101,319.167377438
DSC_1029_RAB664d,106,285.077257028
DSC_1029_RAB664d,111,255.253943306
DSC_1029_RAB664d,116,229.427561902
DSC_1031_RAB664v,1,252.689240866
DSC_1031_RAB664v,6,898.814712217
DSC_1031_RAB664v,11,1001.178036042
DSC_1031_RAB664v,16,1126.753619463
DSC_1031_RAB664v,21,1117.189373242
DSC_1031_RAB664v,26,1037.364754654
DSC_1031_RAB664v,31,952.899216223
DSC_1031_RAB664v,36,884.214570511
DSC_1031_RAB664v,41,829.043260636
DSC_1031_RAB664v,46,781.555312733
DSC_1031_RAB664v,51,738.054754056
DSC_1031_RAB664v,56,696.899811294
DSC_1031_RAB664v,61,657.541770961
DSC_1031_RAB664v,66,619.896917463
DSC_1031_RAB664v,71,584.051652765
DSC_1031_RAB664v,76,550.141378915
DSC_1031_RAB664v,81,518.298573767
DSC_1031_RAB664v,86,488.626621312
DSC_1031_RAB664v,91,461.185454824
DSC_1031_RAB664v,96,435.985435785
DSC_1031_RAB664v,101,412.988443457
DSC_1031_RAB664v,106,392.114197731
DSC_1031_RAB664v,111,373.249523645
DSC_1031_RAB664v,116,356.258440409
DSC_1035_RAB665v,1,202.998347377
DSC_1035_RAB665v,6,761.307498282
DSC_1035_RAB665v,11,897.773619928
DSC_1035_RAB665v,16,1106.323706484
DSC_1035_RAB665v,21,1310.172057274
DSC_1035_RAB665v,26,1489.343849823
DSC_1035_RAB665v,31,1619.507882960
DSC_1035_RAB665v,36,1687.679215786
DSC_1035_RAB665v,41,1697.113154799
DSC_1035_RAB665v,46,1659.497074377
DSC_1035_RAB665v,51,1588.595004210
DSC_1035_RAB665v,56,1496.991956598
DSC_1035_RAB665v,61,1394.818596477
DSC_1035_RAB665v,66,1289.552720879
DSC_1035_RAB665v,71,1186.333577283
DSC_1035_RAB665v,76,1088.449043961
DSC_1035_RAB665v,81,997.813609041
DSC_1035_RAB665v,86,915.363563155
DSC_1035_RAB665v,91,841.355885107
DSC_1035_RAB665v,96,775.588372528
DSC_1035_RAB665v,101,717.561106009
DSC_1035_RAB665v,106,666.598850660
DSC_1035_RAB665v,111,621.944531765
DSC_1035_RAB665v,116,582.829469850
DSC_1036_RAB665d,1,127.358839024
DSC_1036_RAB665d,6,396.651150725
DSC_1036_RAB665d,11,395.843745238
DSC_1036_RAB665d,16,510.372948868
DSC_1036_RAB665d,21,617.672928052
DSC_1036_RAB665d,26,708.468046315
DSC_1036_RAB665d,31,777.230438276
DSC_1036_RAB665d,36,822.597702170
DSC_1036_RAB665d,41,846.941485171
DSC_1036_RAB665d,46,854.294634468
DSC_1036_RAB665d,51,849.008547314
DSC_1036_RAB665d,56,835.116368278
DSC_1036_RAB665d,61,816.026794055
DSC_1036_RAB665d,66,794.386988829
DSC_1036_RAB665d,71,772.069103800
DSC_1036_RAB665d,76,750.250888870
DSC_1036_RAB665d,81,729.553060418
DSC_1036_RAB665d,86,710.196399049
DSC_1036_RAB665d,91,692.149213932
DSC_1036_RAB665d,96,675.247369906
DSC_1036_RAB665d,101,659.279612430
DSC_1036_RAB665d,106,644.040383961
DSC_1036_RAB665d,111,629.356004168
DSC_1036_RAB665d,116,615.092727704
DSC_1040_RAB672d,1,176.986453202
DSC_1040_RAB672d,6,676.768386130
DSC_1040_RAB672d,11,969.977727791
DSC_1040_RAB672d,16,1215.167955066
DSC_1040_RAB672d,21,1405.137795411
DSC_1040_RAB672d,26,1532.717321671
DSC_1040_RAB672d,31,1596.373704296
DSC_1040_RAB672d,36,1608.040869948
DSC_1040_RAB672d,41,1581.538122416
DSC_1040_RAB672d,46,1527.855142680
DSC_1040_RAB672d,51,1455.062067347
DSC_1040_RAB672d,56,1369.091387788
DSC_1040_RAB672d,61,1274.468391818
DSC_1040_RAB672d,66,1174.871059885
DSC_1040_RAB672d,71,1073.456247944
DSC_1040_RAB672d,76,972.968188662
DSC_1040_RAB672d,81,875.722932029
DSC_1040_RAB672d,86,783.565509074
DSC_1040_RAB672d,91,697.854344687
DSC_1040_RAB672d,96,619.486237933
DSC_1040_RAB672d,101,548.950489407
DSC_1040_RAB672d,106,486.395899335
DSC_1040_RAB672d,111,431.696767699
DSC_1040_RAB672d,116,384.511413635
DSC_1041_RAB672v,1,322.999059404
DSC_1041_RAB672v,6,968.736863027
DSC_1041_RAB672v,11,1078.693732385
DSC_1041_RAB672v,16,1172.119841170
DSC_1041_RAB672v,21,1165.706124923
DSC_1041_RAB672v,26,1095.130247966
DSC_1041_RAB672v,31,1004.679841589
DSC_1041_RAB672v,36,917.817454093
DSC_1041_RAB672v,41,841.111990307
DSC_1041_RAB672v,46,773.511505988
DSC_1041_RAB672v,51,712.377629958
DSC_1041_RAB672v,56,655.834454913
DSC_1041_RAB672v,61,603.016724474
DSC_1041_RAB672v,66,553.677331999
DSC_1041_RAB672v,71,507.825595669
DSC_1041_RAB672v,76,465.525782887
DSC_1041_RAB672v,81,426.809253519
DSC_1041_RAB672v,86,391.642937238
DSC_1041_RAB672v,91,359.923303393
DSC_1041_RAB672v,96,331.483470693
DSC_1041_RAB672v,101,306.106783264
DSC_1041_RAB672v,106,283.543797137
DSC_1041_RAB672v,111,263.528594113
DSC_1041_RAB672v,116,245.793166127
DSC_1084_RAB931v,1,211.807589673
DSC_1084_RAB931v,6,1050.984000039
DSC_1084_RAB931v,11,1205.487305563
DSC_1084_RAB931v,16,1226.493556363
DSC_1084_RAB931v,21,1250.887690081
DSC_1084_RAB931v,26,1299.152828524
DSC_1084_RAB931v,31,1342.561637836
DSC_1084_RAB931v,36,1364.777932466
DSC_1084_RAB931v,41,1358.048775075
DSC_1084_RAB931v,46,1320.471911827
DSC_1084_RAB931v,51,1256.353511531
DSC_1084_RAB931v,56,1174.122293494
DSC_1084_RAB931v,61,1083.430262983
DSC_1084_RAB931v,66,992.969609567
DSC_1084_RAB931v,71,909.278226256
DSC_1084_RAB931v,76,836.348528435
DSC_1084_RAB931v,81,775.795260939
DSC_1084_RAB931v,86,727.366884917
DSC_1084_RAB931v,91,689.608546070
DSC_1084_RAB931v,96,660.505744748
DSC_1084_RAB931v,101,637.981798808
DSC_1084_RAB931v,106,620.198973024
DSC_1084_RAB931v,111,605.684007807
DSC_1084_RAB931v,116,593.335766443
DSC_1085_RAB932v,1,169.500490958
DSC_1085_RAB932v,6,881.451730439
DSC_1085_RAB932v,11,1451.642129008
DSC_1085_RAB932v,16,1824.155534881
DSC_1085_RAB932v,21,2034.040003679
DSC_1085_RAB932v,26,2158.613446007
DSC_1085_RAB932v,31,2210.844422830
DSC_1085_RAB932v,36,2180.778418736
DSC_1085_RAB932v,41,2077.491457216
DSC_1085_RAB932v,46,1927.455799360
DSC_1085_RAB932v,51,1760.485745646
DSC_1085_RAB932v,56,1599.890573437
DSC_1085_RAB932v,61,1459.164181371
DSC_1085_RAB932v,66,1343.203405514
DSC_1085_RAB932v,71,1251.401227939
DSC_1085_RAB932v,76,1180.629319268
DSC_1085_RAB932v,81,1127.193401333
DSC_1085_RAB932v,86,1087.727736496
DSC_1085_RAB932v,91,1059.408314178
DSC_1085_RAB932v,96,1039.878886018
DSC_1085_RAB932v,101,1027.127839856
DSC_1085_RAB932v,106,1019.409400347
DSC_1085_RAB932v,111,1015.212992188
DSC_1085_RAB932v,116,1013.259186366
DSC_1088_RAB932d,1,82.664953881
DSC_1088_RAB932d,6,386.030775677
DSC_1088_RAB932d,11,482.916753291
DSC_1088_RAB932d,16,538.658642433
DSC_1088_RAB932d,21,570.033653188
DSC_1088_RAB932d,26,588.117785497
DSC_1088_RAB932d,31,597.750153170
DSC_1088_RAB932d,36,598.326253480
DSC_1088_RAB932d,41,588.284029933
DSC_1088_RAB932d,46,568.748687753
DSC_1088_RAB932d,51,542.747041010
DSC_1088_RAB932d,56,513.342315216
DSC_1088_RAB932d,61,482.809754614
DSC_1088_RAB932d,66,452.646485421
DSC_1088_RAB932d,71,423.810076017
DSC_1088_RAB932d,76,396.907978752
DSC_1088_RAB932d,81,372.302889996
DSC_1088_RAB932d,86,350.170482715
DSC_1088_RAB932d,91,330.538870818
DSC_1088_RAB932d,96,313.323706095
