Label,pattern_size,pattern_energy
DSC_1024_RAB663v,31,1431.586992771
DSC_1024_RAB663v,36,1410.879662580
DSC_1024_RAB663v,41,1334.790528142
DSC_1024_RAB663v,46,1226.147873098
DSC_1024_RAB663v,51,1105.450609790
DSC_1024_RAB663v,56,987.856284847
DSC_1024_RAB663v,61,882.771016547
DSC_1024_RAB663v,66,794.600409687
DSC_1024_RAB663v,71,723.984614554
DSC_1024_RAB663v,76,669.162124087
DSC_1024_RAB663v,81,627.215725162
DSC_1024_RAB663v,86,595.016628502
DSC_1024_RAB663v,91,569.787470589
DSC_1024_RAB663v,96,549.330720104
DSC_1024_RAB663v,101,532.037524374
DSC_1024_RAB663v,106,516.793673954
DSC_1024_RAB663v,111,502.859508468
DSC_1024_RAB663v,116,489.761172643
DSC_1029_RAB664d,1,104.963180506
DSC_1029_RAB664d,6,396.959738443
DSC_1029_RAB664d,11,615.351941568
DSC_1029_RAB664d,16,797.016479293
DSC_1029_RAB664d,21,913.183564366
DSC_1029_RAB664d,26,962.459536270
DSC_1029_RAB664d,31,963.353280237
DSC_1029_RAB664d,36,936.285273035
DSC_1029_RAB664d,41,895.897774750
DSC_1029_RAB664d,46,849.916856718
DSC_1029_RAB664d,51,801.052336725
DSC_1029_RAB664d,56,749.782783359
DSC_1029_RAB664d,61,696.343188687
DSC_1029_RAB664d,66,641.462541346
DSC_1029_RAB664d,71,586.310380443
DSC_1029_RAB664d,76,532.197080067
DSC_1029_RAB664d,81,480.312808810
DSC_1029_RAB664d,86,431.580714418
DSC_1029_RAB664d,91,386.610478276
DSC_1029_RAB664d,96,345.717578160
DSC_1029_RAB664d,101,308.976795594
DSC_1029_RAB664d,106,276.287608543
DSC_1029_RAB664d,111,247.436217776
DSC_1029_RAB664d,116,222.146470730
DSC_1031_RAB664v,1,284.197922677
DSC_1031_RAB664v,6,896.793953955
DSC_1031_RAB664v,11,976.421532187
DSC_1031_RAB664v,16,1082.054889277
DSC_1031_RAB664v,21,1070.483770170
DSC_1031_RAB664v,26,1024.934817593
DSC_1031_RAB664v,31,992.816426015
DSC_1031_RAB664v,36,971.326014178
DSC_1031_RAB664v,41,947.211219714
DSC_1031_RAB664v,46,914.110714548
DSC_1031_RAB664v,51,872.124582921
DSC_1031_RAB664v,56,824.019174641
DSC_1031_RAB664v,61,772.843310392
DSC_1031_RAB664v,66,721.018581678
DSC_1031_RAB664v,71,670.200653582
DSC_1031_RAB664v,76,621.421466582
DSC_1031_RAB664v,81,575.278641236
DSC_1031_RAB664v,86,532.089543709
DSC_1031_RAB664v,91,491.996756320
DSC_1031_RAB664v,96,455.034614557
DSC_1031_RAB664v,101,421.169670046
DSC_1031_RAB664v,106,390.325350768
DSC_1031_RAB664v,111,362.396490903
DSC_1031_RAB664v,116,337.257944791
DSC_1035_RAB665v,1,209.220777990
DSC_1035_RAB665v,6,751.371467514
DSC_1035_RAB665v,11,880.801070094
DSC_1035_RAB665v,16,1074.039109972
DSC_1035_RAB665v,21,1282.302726103
DSC_1035_RAB665v,26,1468.368810412
DSC_1035_RAB665v,31,1604.973064288
DSC_1035_RAB665v,36,1679.596767580
DSC_1035_RAB665v,41,1694.945464340
DSC_1035_RAB665v,46,1661.823186317
DSC_1035_RAB665v,51,1593.475631515
DSC_1035_RAB665v,56,1502.510061549
DSC_1035_RAB665v,61,1399.483406174
DSC_1035_RAB665v,66,1292.475928763
DSC_1035_RAB665v,71,1187.214232666
DSC_1035_RAB665v,76,1087.444709230
DSC_1035_RAB665v,81,995.369375990
DSC_1035_RAB665v,86,912.050219559
DSC_1035_RAB665v,91,837.745350055
DSC_1035_RAB665v,96,772.175989282
DSC_1035_RAB665v,101,714.731185132
DSC_1035_RAB665v,106,664.622520542
DSC_1035_RAB665v,111,620.996346789
DSC_1035_RAB665v,116,583.011394862
DSC_1036_RAB665d,1,129.907838178
DSC_1036_RAB665d,6,392.490519143
DSC_1036_RAB665d,11,387.045435423
DSC_1036_RAB665d,16,500.597362963
DSC_1036_RAB665d,21,610.060328303
DSC_1036_RAB665d,26,704.317809857
DSC_1036_RAB665d,31,776.180193608
DSC_1036_RAB665d,36,823.118112305
DSC_1036_RAB665d,41,847.311128038
DSC_1036_RAB665d,46,853.219306677
DSC_1036_RAB665d,51,845.788169778
DSC_1036_RAB665d,56,829.573974608
DSC_1036_RAB665d,61,808.352300531
DSC_1036_RAB665d,66,784.977002135
DSC_1036_RAB665d,71,761.400572650
DSC_1036_RAB665d,76,738.798153821
DSC_1036_RAB665d,81,717.742135263
DSC_1036_RAB665d,86,698.384845321
DSC_1036_RAB665d,91,680.620867820
DSC_1036_RAB665d,96,664.214900754
DSC_1036_RAB665d,101,648.890959851
DSC_1036_RAB665d,106,634.387052097
DSC_1036_RAB665d,111,620.482208405
DSC_1036_RAB665d,116,607.004618995
DSC_1040_RAB672d,1,198.185596032
DSC_1040_RAB672d,6,664.767745571
DSC_1040_RAB672d,11,955.908888897
DSC_1040_RAB672d,16,1250.107817211
DSC_1040_RAB672d,21,1488.462589713
DSC_1040_RAB672d,26,1639.091346005
DSC_1040_RAB672d,31,1703.558095085
DSC_1040_RAB672d,36,1702.419065246
DSC_1040_RAB672d,41,1657.508332416
DSC_1040_RAB672d,46,1585.195951810
DSC_1040_RAB672d,51,1496.369858613
DSC_1040_RAB672d,56,1397.988305191
DSC_1040_RAB672d,61,1294.535027230
DSC_1040_RAB672d,66,1189.104269907
DSC_1040_RAB672d,71,1084.077307571
DSC_1040_RAB672d,76,981.442941809
DSC_1040_RAB672d,81,882.888536090
DSC_1040_RAB672d,86,789.792855965
DSC_1040_RAB672d,91,703.205026503
DSC_1040_RAB672d,96,623.844518329
DSC_1040_RAB672d,101,552.124932325
DSC_1040_RAB672d,106,488.192304885
DSC_1040_RAB672d,111,431.967332767
DSC_1040_RAB672d,116,383.184840755
DSC_1041_RAB672v,1,356.573083353
DSC_1041_RAB672v,6,899.400330467
DSC_1041_RAB672v,11,973.255808981
DSC_1041_RAB672v,16,1086.202657072
DSC_1041_RAB672v,21,1153.510751108
DSC_1041_RAB672v,26,1160.225535891
DSC_1041_RAB672v,31,1115.584651646
DSC_1041_RAB672v,36,1039.911096651
DSC_1041_RAB672v,41,951.755142030
DSC_1041_RAB672v,46,863.369594753
DSC_1041_RAB672v,51,781.071435364
DSC_1041_RAB672v,56,707.182053104
DSC_1041_RAB672v,61,641.880114351
DSC_1041_RAB672v,66,584.440156252
DSC_1041_RAB672v,71,533.899182926
DSC_1041_RAB672v,76,489.348314046
DSC_1041_RAB672v,81,450.020412306
DSC_1041_RAB672v,86,415.285028470
DSC_1041_RAB672v,91,384.612441167
DSC_1041_RAB672v,96,357.538919867
DSC_1041_RAB672v,101,333.643975186
DSC_1041_RAB672v,106,312.540184634
DSC_1041_RAB672v,111,293.872169581
DSC_1041_RAB672v,116,277.319221619
DSC_1084_RAB931v,1,252.858767067
DSC_1084_RAB931v,6,1072.562263068
DSC_1084_RAB931v,11,1180.096467508
DSC_1084_RAB931v,16,1150.652107525
DSC_1084_RAB931v,21,1120.890084215
DSC_1084_RAB931v,26,1140.162596154
DSC_1084_RAB931v,31,1178.346568203
DSC_1084_RAB931v,36,1207.429172781
DSC_1084_RAB931v,41,1211.624324581
DSC_1084_RAB931v,46,1185.580982131
DSC_1084_RAB931v,51,1132.967144090
DSC_1084_RAB931v,56,1062.644896862
DSC_1084_RAB931v,61,984.798878864
DSC_1084_RAB931v,66,908.346041395
DSC_1084_RAB931v,71,839.604944622
DSC_1084_RAB931v,76,781.915387562
DSC_1084_RAB931v,81,735.950657135
DSC_1084_RAB931v,86,700.477666464
DSC_1084_RAB931v,91,673.272852419
DSC_1084_RAB931v,96,651.910301160
DSC_1084_RAB931v,101,634.261353879
DSC_1084_RAB931v,106,618.703983870
DSC_1084_RAB931v,111,604.133126272
DSC_1084_RAB931v,116,589.874221829
DSC_1085_RAB932v,1,274.854247487
DSC_1085_RAB932v,6,945.181386101
DSC_1085_RAB932v,11,1429.035542542
DSC_1085_RAB932v,16,1716.578465848
DSC_1085_RAB932v,21,1880.911289340
DSC_1085_RAB932v,26,1984.867071087
DSC_1085_RAB932v,31,2030.465443699
DSC_1085_RAB932v,36,2005.972009482
DSC_1085_RAB932v,41,1918.215882786
DSC_1085_RAB932v,46,1789.449633936
DSC_1085_RAB932v,51,1645.257855325
DSC_1085_RAB932v,56,1506.097114589
DSC_1085_RAB932v,61,1384.213775806
DSC_1085_RAB932v,66,1284.357192041
DSC_1085_RAB932v,71,1206.208645962
DSC_1085_RAB932v,76,1146.936900159
DSC_1085_RAB932v,81,1103.042243148
DSC_1085_RAB932v,86,1071.321911050
DSC_1085_RAB932v,91,1049.173870220
DSC_1085_RAB932v,96,1034.554764080
DSC_1085_RAB932v,101,1025.827056173
DSC_1085_RAB932v,106,1021.622581570
DSC_1085_RAB932v,111,1020.757282031
DSC_1085_RAB932v,116,1022.194518051
DSC_1088_RAB932d,1,108.448769402
DSC_1088_RAB932d,6,361.647691375
DSC_1088_RAB932d,11,377.456541787
DSC_1088_RAB932d,16,351.482958939
DSC_1088_RAB932d,21,324.041205198
DSC_1088_RAB932d,26,307.765291140
DSC_1088_RAB932d,31,296.472767734
DSC_1088_RAB932d,36,285.725553945
DSC_1088_RAB932d,41,273.768596102
DSC_1088_RAB932d,46,259.961005399
DSC_1088_RAB932d,51,244.549440484
DSC_1088_RAB932d,56,228.303693920
DSC_1088_RAB932d,61,212.086040231
DSC_1088_RAB932d,66,196.612849732
DSC_1088_RAB932d,71,182.391504092
DSC_1088_RAB932d,76,169.739645697
DSC_1088_RAB932d,81,158.824479453
DSC_1088_RAB932d,86,149.696809697
DSC_1088_RAB932d,91,142.315014017
DSC_1088_RAB932d,96,136.563225868
DSC_1088_RAB932d,101,132.269314114
DSC_1088_RAB932d,106,129.225403024
DSC_1088_RAB932d,111,127.209354022
DSC_1088_RAB932d,116,126.004357728
DSC_1089_RAB933d,1,145.911371758
DSC_1089_RAB933d,6,499.604982807
DSC_1089_RAB933d,11,520.755340040
DSC_1089_RAB933d,16,481.973215065
DSC_1089_RAB933d,21,452.754866332
DSC_1089_RAB933d,26,432.630655144
DSC_1089_RAB933d,31,419.169964138
DSC_1089_RAB933d,36,407.197462672
DSC_1089_RAB933d,41,391.371532946
DSC_1089_RAB933d,46,370.335981309
DSC_1089_RAB933d,51,345.915284570
DSC_1089_RAB933d,56,320.831101150
DSC_1089_RAB933d,61,297.323804910
DSC_1089_RAB933d,66,276.765730135
DSC_1089_RAB933d,71,259.760830415
DSC_1089_RAB933d,76,246.370675680
DSC_1089_RAB933d,81,236.319150767
DSC_1089_RAB933d,86,229.145214961
DSC_1089_RAB933d,91,224.312110302
DSC_1089_RAB933d,96,221.283662036
DSC_1089_RAB933d,101,219.573025358
DSC_1089_RAB933d,106,218.768405863
DSC_1089_RAB933d,111,218.540792614
DSC_1089_RAB933d,116,218.639916772
DSC_1092_RAB933v,1,227.727518993
DSC_1092_RAB933v,6,892.925132226
DSC_1092_RAB933v,11,1322.253670983
DSC_1092_RAB933v,16,1455.447387907
DSC_1092_RAB933v,21,1499.009914110
DSC_1092_RAB933v,26,1526.395998271
DSC_1092_RAB933v,31,1523.534429152
DSC_1092_RAB933v,36,1487.258006361
DSC_1092_RAB933v,41,1428.057100981
DSC_1092_RAB933v,46,1357.092065572
DSC_1092_RAB933v,51,1281.709646608
DSC_1092_RAB933v,56,1206.351168630
DSC_1092_RAB933v,61,1134.127443175
DSC_1092_RAB933v,66,1067.565528077
DSC_1092_RAB933v,71,1008.683799634
DSC_1092_RAB933v,76,958.821653170
DSC_1092_RAB933v,81,918.503369510
DSC_1092_RAB933v,86,887.447627334
DSC_1092_RAB933v,91,864.719231488
DSC_1092_RAB933v,96,848.964775365
DSC_1092_RAB933v,101,838.657617190
DSC_1092_RAB933v,106,832.298823146
DSC_1092_RAB933v,111,828.548703683
DSC_1092_RAB933v,116,826.291985391
DSC_1101_RAB937d,1,131.291906967
DSC_1101_RAB937d,6,491.997727658
DSC_1101_RAB937d,11,530.484965492
DSC_1101_RAB937d,16,574.232029355
DSC_1101_RAB937d,21,634.843492388
DSC_1101_RAB937d,26,684.013209893
DSC_1101_RAB937d,31,711.862651883
DSC_1101_RAB937d,36,718.543093245
DSC_1101_RAB937d,41,707.824968330
DSC_1101_RAB937d,46,684.397665427
DSC_1101_RAB937d,51,652.597776085
DSC_1101_RAB937d,56,615.925308269
